Geog,GeogKey,Total Population,Population Rate
Rogers Park,1,54991,0.02
West Ridge,2,71942,0.027
Uptown,3,56362,0.021
Lincoln Square,4,39493,0.015
North Center,5,31867,0.012
Lake View,6,94368,0.035
Lincoln Park,7,64116,0.024
Near North Side,8,80484,0.03
Edison Park,9,11187,0.004
Norwood Park,10,37023,0.014
Jefferson Park,11,25448,0.009
Forest Glen,12,18508,0.007
North Park,13,17931,0.007
Albany Park,14,51542,0.019
Portage Park,15,64124,0.024
Irving Park,16,53359,0.02
Dunning,17,41932,0.016
Montclare,18,13426,0.005
Belmont Cragin,19,78743,0.029
Hermosa,20,25010,0.009
Avondale,21,39262,0.015
Logan Square,22,72791,0.027
Humboldt Park,23,56323,0.021
West Town,24,82236,0.031
Austin,25,98514,0.037
West Garfield Park,26,18001,0.007
East Garfield Park,27,20567,0.008
Near West Side,28,54881,0.02
North Lawndale,29,35912,0.013
South Lawndale,30,79288,0.029
Lower West Side,31,35769,0.013
The Loop,32,29283,0.011
Near South Side,33,21390,0.008
Armour Square,34,13391,0.005
Douglas,35,18238,0.007
Oakland,36,5918,0.002
Fuller Park,37,2876,0.001
Grand Boulevard,38,21929,0.008
Kenwood,39,17841,0.007
Washington Park,40,11717,0.004
Hyde Park,41,25681,0.01
Woodlawn,42,23740,0.009
South Shore,43,52010,0.019
Chatham,44,31028,0.012
Avalon Park,45,10185,0.004
South Chicago,46,31198,0.012
Burnside,47,2916,0.001
Calumet Heights,48,13812,0.005
Roseland,49,44619,0.017
Pullman,50,7325,0.003
South Deering,51,15109,0.006
East Side,52,23042,0.009
West Pullman,53,29651,0.011
Riverdale,54,6482,0.002
Hegewisch,55,9426,0.003
Garfield Ridge,56,34513,0.013
Archer Heights,57,13393,0.005
Brighton Park,58,45368,0.017
McKinley Park,59,15612,0.006
Bridgeport,60,31977,0.012
New City,61,44377,0.016
West Elsdon,62,18109,0.007
Gage Park,63,39894,0.015
Clearing,64,23139,0.009
West Lawn,65,33355,0.012
Chicago Lawn,66,55628,0.021
West Englewood,67,35505,0.013
Englewood,68,30654,0.011
Greater Grand Crossing,69,32602,0.012
Ashburn,70,41081,0.015
Auburn Gresham,71,48743,0.018
Beverly,72,20034,0.007
Washington Heights,73,26493,0.01
Mount Greenwood,74,19093,0.007
Morgan Park,75,22544,0.008
O'Hare,76,12756,0.005
Edgewater,77,56521,0.021
